id,timestamp,user_id,action,duration_ms,status,ip_address,bytes_transferred
1,2025-12-01 00:00:00,user0884,create,2290,success,142.213.84.131,322596
2,2025-12-01 00:01:00,user0933,search,3317,error,178.29.225.92,802711
3,2025-12-01 00:02:00,user0756,logout,4300,success,96.243.119.73,201660
4,2025-12-01 00:03:00,user0700,download,2621,success,124.27.123.94,411182
5,2025-12-01 00:04:00,user0559,search,4328,success,36.230.42.187,880991
6,2025-12-01 00:05:00,user0156,download,3875,error,130.43.51.160,900833
7,2025-12-01 00:06:00,user0023,delete,4100,success,212.137.171.94,142708
8,2025-12-01 00:07:00,user0425,upload,1148,success,186.149.28.130,876279
9,2025-12-01 00:08:00,user0060,update,4497,success,213.107.114.28,801263
10,2025-12-01 00:09:00,user0888,api_call,2423,success,2.238.88.141,614882
11,2025-12-01 00:10:00,user0678,view_page,458,success,142.117.39.171,211736
12,2025-12-01 00:11:00,user0705,api_call,2387,success,141.198.224.34,601551
13,2025-12-01 00:12:00,user0193,api_call,1707,success,29.250.163.149,350455
14,2025-12-01 00:13:00,user0852,create,1312,success,209.126.62.128,416814
15,2025-12-01 00:14:00,user0637,logout,1933,success,235.150.107.78,617010
16,2025-12-01 00:15:00,user0553,upload,4053,success,236.40.16.46,718809
17,2025-12-01 00:16:00,user0980,create,2342,success,224.166.55.61,631903
18,2025-12-01 00:17:00,user0562,api_call,2838,success,247.179.61.181,438234
19,2025-12-01 00:18:00,user0001,download,4372,success,57.255.152.204,389595
20,2025-12-01 00:19:00,user0392,create,4908,error,17.151.9.123,112320
21,2025-12-01 00:20:00,user0225,update,1138,success,79.227.159.21,98998
22,2025-12-01 00:21:00,user0787,delete,1337,success,240.237.144.249,975415
23,2025-12-01 00:22:00,user0302,search,3814,error,50.163.170.231,997763
24,2025-12-01 00:23:00,user0548,search,1538,success,204.53.63.129,776648
25,2025-12-01 00:24:00,user0683,delete,1069,success,56.125.212.99,98410
26,2025-12-01 00:25:00,user0643,logout,4926,error,174.86.119.187,802925
27,2025-12-01 00:26:00,user0205,search,3951,error,190.59.85.71,426871
